title,channel,published_at,views,likes,comments
"CGI Animated Short Film: ""Don't Croak"" by Daun Kim | CGMeetup",CGMeetup,2019-10-10T18:18:13Z,63849560,286785,5534
MISMATCHED - Short Animated Film,Jackie Droujko,2022-12-09T17:00:09Z,1456427,86210,793
The Bread - Animated Short Film by GULU,GULU Animation,2021-07-04T17:00:25Z,70624169,165745,4639
"CGI Animated Short Film: ""Ice Pepper"" by ESMA | CGMeetup",CGMeetup,2018-11-13T20:43:19Z,7151615,70300,0
BOUNTY (Animated Short Film),arrowmi,2021-03-01T17:00:23Z,2969608,166788,1913
Pip | A Short Animated Film by Dogs Inc,Dogs Inc,2018-10-24T20:00:14Z,544735108,1927890,42067
For The Birds (1080p) (Pixar Short Films),Smoker,2017-06-29T17:41:56Z,3663558,18710,896
Foundling | Award Winning Animated Short Movie,Nina Podlesnyak,2025-10-01T13:01:54Z,1357534,22794,562
The Egyptian Pyramids - Funny Animated Short Film,Les Pyramides d'Égypte,2014-04-03T22:56:04Z,25459940,211256,1582
"CGI Animated Short Film: ""Watermelon A Cautionary Tale"" by Kefei Li & Connie Qin He | CGMeetup",CGMeetup,2019-02-04T19:14:02Z,214503454,406002,17444
Pumpers' Paradise: At the Funeral - Animated short film (2019),Filmakademie Baden-Württemberg,2021-07-10T08:00:00Z,20929749,247132,1519
FOREVERGREEN — Academy Award®–Nominated Animated Short Film | Now Streaming for a Limited Time,Forevergreen Film,2025-11-21T17:00:06Z,3747357,100816,2639
Cute CGI 3D Animated Short Film ** DUST BUDDIES **- Funny Animation by Ringling College,Mad Artist Publishing CGI & Films,2017-04-06T18:00:00Z,37412499,119843,1879
Snack Attack,Eduardo Verastegui,2016-06-14T20:41:39Z,69015813,964873,18397
"CGI Animated Short Film: ""Mind Games"" by Jiaqi Emily Yan | CGMeetup",CGMeetup,2018-12-21T20:31:04Z,125645549,336214,3232
Inside Out - Vancouver Film School (VFS),Vancouver Film School,2012-03-08T18:30:50Z,22665388,404235,15533
NICCOLO - Animation Short Film 2025 - GOBELINS,GOBELINS Paris,2025-10-08T15:00:06Z,1365054,170201,2231
"CGI Animated Short Film: ""Swing to the Moon"" by ESMA | CGMeetup",CGMeetup,2024-03-31T13:30:08Z,1443841,16256,389
Coin Operated - Animated Short Film,Two Ghosts,2018-11-13T17:21:20Z,24918782,150186,5373
Banana - Animated Short Film by GULU #banana #animation #cartoon,GULU Animation,2026-01-18T06:13:49Z,74138,370,31
WALTER - Animated Short Film,lorenzo fresta,2020-12-29T16:27:48Z,2014127,87506,1331
Bent Out of Shape | Official Animated Short Film,Bent Out Of Shape,2024-05-03T18:00:17Z,23100670,114093,1704
Loopy. The Day of Change | Animated Short Film by Talisman Animation,Talisman Tales,2025-10-23T17:00:06Z,490870,4974,309
THINNER! THINNER! THINNER! #originalart #animation,SkyeWei,2025-07-12T17:40:23Z,18302530,2645855,30216
Rainy Story | Short Animated Film,Talisman Tales,2025-06-07T14:13:26Z,197607,3943,206
Fugu,PHILIPPE Arthur,2012-05-29T11:17:23Z,242677004,871717,23833
GLUED,GLUEDmovie,2012-11-12T20:52:39Z,19276637,109711,0
FREELANCE - Animated Short Film,#LollypopMan,2024-10-28T20:30:06Z,2340351,101245,2694
In a Heartbeat - Animated Short Film,In a Heartbeat Animated Short Film,2017-07-31T15:08:23Z,51688919,2941496,376864
"CGI Animated Short Film: ""Rita's Great Trek"" by The Animation School | CGMeetup",CGMeetup,2021-05-18T15:30:11Z,3553288,23051,243
Never Give Up | Award Winning Motivational Short Film | Kids Cartoon Movies,Esy ID,2021-04-20T03:51:06Z,2182902,22400,0
"Disney-Pixar ""PIPER"" - Cute Motivational short movie.",E4 IMAGINATION,2018-12-12T12:47:20Z,3887686,36937,519
David and Goliath | Animated Bible Movie,Bible In a Nutshell,2025-06-25T20:54:33Z,6536497,34166,1338
THE OLD KNIGHT - Part 1 - Classic Animation by Gabe Hordos,Gabe Hordos Films,2024-08-30T14:27:37Z,2888465,163309,4675
Seeing Things in Black and White - SVA Animated Film,YeajeeDraws,2020-07-29T18:00:19Z,59084223,689586,14941
A Monster?! 😱 | Jungle Beat: Munki & Trunk | Full Episodes | Kids Cartoon 2024,Jungle Beat,2024-10-02T12:00:32Z,16470462,32256,0
"**Award Winning** CGI Animated Short Film: ""Cat and Moth"" by India Barnardo | @CGMeetup ​",CGMeetup,2023-07-02T16:31:55Z,1418565,14385,258
"""POUR GENERATION"" The Price of Disruption.",Patrick Smith,2022-12-16T11:01:06Z,22725590,124553,2453
Oscar-nominated comedy about not trusting appearances | CGI Short film ‘French Roast’,Premium Films,2023-04-17T08:48:57Z,4789056,73855,1026
EMERSION - Animated Short Film,Howard Wimshurst Animation,2025-11-01T17:00:08Z,284013,29983,1017
"Boy, I'm Scared - Animated Short Film 2025 - Artcenter",Stumpy T,2025-05-30T17:00:23Z,662538,83758,1785
Animated short film on the alienation of work | The Employment - by Patricio Plaza & Santiago Grasso,KIS KIS - keep it short,2023-09-30T13:30:03Z,1098693,15515,281
SNOW BEAR - A Hand-Drawn Animated Short Film (4K) by Aaron Blaise,The Art of Aaron Blaise,2025-11-28T17:00:07Z,4691026,385787,18863
DeadFish | Short Film,Ekrixart,2024-07-13T15:37:17Z,1647452,158684,1820
GRUFF | A Short Film by Righteous Robot,Righteous Robot,2024-03-02T01:00:07Z,9789889,961851,55394
The Fox and the Bird - CGI short film by Fred and Sam Guillaume,MAGNETFILM,2021-03-25T12:00:04Z,67248871,671957,11100
"CGI 3D Animated Short: ""Pebble"" - by Marco Pavanello | TheCGBros",TheCGBros,2021-01-31T17:00:30Z,3535334,18001,517
Head Up,Filmbilder & Friends,2016-09-13T08:00:03Z,39299527,372951,4094
Quack ! - ESMA 2024,ESMA Movies,2025-11-22T16:00:28Z,1517376,3679,58
#DOUDOUCHALLENGE | Film d'Animation (Promo 2023) | Film complet,Rubika,2025-02-19T14:00:38Z,4231783,75475,1768
