video_id,search_query,title,channel,published_at,views,likes,comments,publish_year,publish_month,title_length,engagement_total,engagement_ratio
j8PDTJNaPc0,animation short film,"CGI Animated Short Film: ""Don't Croak"" by Daun Kim | CGMeetup",CGMeetup,2019-10-10 18:18:13+00:00,63873502,286845,5536,2019,10,61,292381,0.004577500698176844
Wlf1T5nrO50,animation short film,The Bread - Animated Short Film by GULU,GULU Animation,2021-07-04 17:00:25+00:00,71228405,165930,4641,2021,7,39,170571,0.0023947047529703914
lTxn2BuqyzU,animation short film,"CGI Animated Short Film: ""Watermelon A Cautionary Tale"" by Kefei Li & Connie Qin He | CGMeetup",CGMeetup,2019-02-04 19:14:02+00:00,214541347,406064,17444,2019,2,94,423508,0.001974015759302565
RHZgEurs9hE,animation short film,MISMATCHED - Short Animated Film,Jackie Droujko,2022-12-09 17:00:09+00:00,1457463,86244,793,2022,12,32,87037,0.05971815408006927
j6PbonHsqW0,animation short film,The Egyptian Pyramids - Funny Animated Short Film,Les Pyramides d'Égypte,2014-04-03 22:56:04+00:00,25468535,211318,1584,2014,4,49,212902,0.008359412899092939
w7brpxPmvhU,animation short film,Foundling | Award Winning Animated Short Movie,Nina Podlesnyak,2025-10-01 13:01:54+00:00,1381829,23044,564,2025,10,46,23608,0.01708460308764688
doPV-Shqm7k,animation short film,"CGI Animated Short Film: ""Swing to the Moon"" by ESMA | CGMeetup",CGMeetup,2024-03-31 13:30:08+00:00,1457207,16312,389,2024,3,63,16701,0.011460966081002905
07d2dXHYb94,animation short film,Pip | A Short Animated Film by Dogs Inc,Dogs Inc,2018-10-24 20:00:14+00:00,544985304,1928000,42064,2018,10,39,1970064,0.003614893806384181
JkMCMlVdUT8,animation short film,"CGI Animated Short Film: ""Ice Pepper"" by ESMA | CGMeetup",CGMeetup,2018-11-13 20:43:19+00:00,7154449,70301,0,2018,11,56,70301,0.00982619346367554
NudUBj1w7z4,animation short film,BOUNTY (Animated Short Film),arrowmi,2021-03-01 17:00:23+00:00,2971583,166838,1914,2021,3,28,168752,0.05678858709314194
TvRhfaouBHs,animation short film,"CGI Animated Short Film: ""Mind Games"" by Jiaqi Emily Yan | CGMeetup",CGMeetup,2018-12-21 20:31:04+00:00,125859839,336277,3233,2018,12,67,339510,0.00269752450581158
O515YeHQhYE,animation short film,NICCOLO - Animation Short Film 2025 - GOBELINS,GOBELINS Paris,2025-10-08 15:00:06+00:00,1372272,170670,2232,2025,10,46,172902,0.12599688691454755
B4EPW7JUMTM,animation short film,FOREVERGREEN — Academy Award®–Nominated Animated Short Film | Now Streaming for a Limited Time,Forevergreen Film,2025-11-21 17:00:06+00:00,4005109,102556,2661,2025,11,94,105217,0.026270695753848397
nCKwUB8EVbc,animation short film,CEREAL! - Animated Student Film,XrayAlphaCharlie,2024-12-15 06:30:06+00:00,1286532,86065,1513,2024,12,31,87578,0.06807292784011591
9OhUJyF1bYo,animation short film,Cute CGI 3D Animated Short Film ** DUST BUDDIES **- Funny Animation by Ringling College,Mad Artist Publishing CGI & Films,2017-04-06 18:00:00+00:00,37473737,119869,1879,2017,4,87,121748,0.0032488886816919274
